myot,myox,myoy,myoz,myost
myot,myox,myoy,myoz,myost
111590888,1.03271,-0.170898,0.0439453,1468766050959
111606468,0.986328,-0.188965,0.034668,1468766050974
111637105,0.958984,-0.186035,0.00146484,1468766051005
111652208,0.93457,-0.162109,-0.0234375,1468766051020
111666638,0.938477,-0.137695,-0.0209961,1468766051034
111689029,0.978027,-0.12793,-0.00634766,1468766051057
111712200,0.990234,-0.131836,-0.00390625,1468766051080
111726576,0.992676,-0.133789,-0.00488281,1468766051094
111749047,0.998047,-0.144531,0.00390625,1468766051117
111772128,0.98877,-0.145996,0.00537109,1468766051140
111786530,0.987793,-0.122559,-0.00488281,1468766051154
111808934,0.981934,-0.135742,-0.000976562,1468766051177
111832085,0.966797,-0.152832,-0.00683594,1468766051200
111846520,0.97168,-0.147949,-0.00341797,1468766051214
111868979,0.977539,-0.140625,-0.00537109,1468766051237
111892129,0.982422,-0.140625,-0.000488281,1468766051260
111906610,0.970703,-0.125977,-0.0136719,1468766051274
111929026,0.966797,-0.140137,-0.0175781,1468766051297
111952141,0.967773,-0.145996,0.00439453,1468766051320
111966565,0.970703,-0.129883,0.00146484,1468766051334
111989074,0.979492,-0.13916,0.00732422,1468766051357
112019689,0.972656,-0.152832,0.000488281,1468766051387
112026628,0.959473,-0.145508,-0.00390625,1468766051394
112049047,0.966309,-0.148438,-0.0102539,1468766051417
112072002,0.970215,-0.143555,0.00244141,1468766051440
112086534,0.97998,-0.134277,0.0117188,1468766051454
112108933,0.978516,-0.147461,0.0136719,1468766051477
112132093,0.96875,-0.149414,0.00488281,1468766051500
112153119,0.964355,-0.147461,-0.000488281,1468766051521
112168906,0.973145,-0.132812,-0.00146484,1468766051537
112192173,0.991699,-0.126465,0.0078125,1468766051560
112213366,0.989746,-0.123535,-0.00439453,1468766051581
112229091,0.960449,-0.135742,0.00976562,1468766051597
112252244,0.957031,-0.157715,-0.0102539,1468766051620
112273340,0.964355,-0.132812,-0.0229492,1468766051641
112288960,0.972168,-0.145996,-0.00976562,1468766051657
112312225,0.983887,-0.132324,0.00927734,1468766051680
112333202,0.985352,-0.138184,0.0112305,1468766051701
112348960,0.963379,-0.14209,0.00341797,1468766051717
112372112,0.950684,-0.143555,-0.0175781,1468766051740
112393359,0.95459,-0.129883,-0.027832,1468766051761
112408975,0.969238,-0.134277,-0.0136719,1468766051777
112431482,0.975098,-0.144043,-0.0102539,1468766051799
112453386,0.963379,-0.136719,-0.0131836,1468766051821
112469025,0.954102,-0.146484,-0.027832,1468766051837
112491483,0.963379,-0.163086,-0.0292969,1468766051859
112513206,0.973145,-0.146973,-0.015625,1468766051881
112528933,0.982422,-0.141113,-0.0244141,1468766051897
112551519,0.990234,-0.153809,-0.0200195,1468766051919
112574630,0.97998,-0.155762,-0.0205078,1468766051942
112588981,0.973145,-0.13916,-0.0327148,1468766051957
112611676,0.971191,-0.133301,-0.046875,1468766051979
112634677,0.977051,-0.112793,-0.0512695,1468766052002
112649010,0.980957,-0.129883,-0.0449219,1468766052017
112671570,0.985352,-0.135254,-0.0371094,1468766052039
112694663,0.981445,-0.138184,-0.0385742,1468766052062
112709102,0.972168,-0.131836,-0.043457,1468766052077
112731502,0.97168,-0.137207,-0.0424805,1468766052099
112754655,0.980469,-0.119629,-0.0532227,1468766052122
112768959,0.98877,-0.132324,-0.0532227,1468766052137
112782567,0.97168,-0.151855,-0.0405273,1468766052150
112805052,0.964355,-0.150391,-0.046875,1468766052173
112828434,0.972656,-0.142578,-0.0478516,1468766052196
112850844,0.981934,-0.132812,-0.0419922,1468766052219
112865132,0.972168,-0.146484,-0.043457,1468766052233
112888307,0.966797,-0.143555,-0.0488281,1468766052256
112902608,0.967285,-0.138672,-0.0419922,1468766052270
112925054,0.978516,-0.131836,-0.0317383,1468766052293
112948234,0.979492,-0.134766,-0.034668,1468766052316
112962597,0.975586,-0.141602,-0.0351562,1468766052330
112985276,0.961426,-0.145996,-0.0341797,1468766052353
113008267,0.969238,-0.140625,-0.0341797,1468766052376
113022564,0.976562,-0.13623,-0.0317383,1468766052390
113045198,0.97168,-0.129395,-0.034668,1468766052413
113068310,0.977539,-0.121094,-0.03125,1468766052436
113090833,0.977051,-0.137695,-0.0307617,1468766052459
113106620,0.972656,-0.144043,-0.0336914,1468766052474
113128331,0.966797,-0.134766,-0.0390625,1468766052496
113144058,0.968262,-0.143066,-0.034668,1468766052512
113165237,0.972168,-0.128418,-0.0341797,1468766052533
113188401,0.980957,-0.137207,-0.0390625,1468766052556
113202783,0.986816,-0.136719,-0.0371094,1468766052571
113225043,0.973633,-0.135254,-0.0361328,1468766052593
113256478,0.966309,-0.142578,-0.0356445,1468766052624
113262602,0.959961,-0.135254,-0.0390625,1468766052631
113285230,0.973145,-0.120117,-0.0317383,1468766052653
113308401,0.986328,-0.125488,-0.0253906,1468766052677
113322600,0.969727,-0.133789,-0.0356445,1468766052690
113345265,0.96582,-0.127441,-0.0327148,1468766052713
113369695,0.970215,-0.120605,-0.0302734,1468766052737
113382789,0.97998,-0.120117,-0.0297852,1468766052751
113406532,0.979492,-0.115723,-0.0292969,1468766052774
113428391,0.977539,-0.11377,-0.0292969,1468766052796
113442734,0.973145,-0.119629,-0.0380859,1468766052811
