myoTS,x,y,z
492135673594,-2.75,-0.3125,0.5625
492135691427,-2.625,0.125,0.5
492135712492,-1.4375,0.375,0.125
492135733480,0.625,0.5625,-0.125
492135751380,2.375,0.75,-0.125
492135772486,1.6875,1.375,0.125
492135793521,0,1.5,-0.125
492135811405,0.1875,0.75,-0.5625
492135832511,1.125,0.0625,-0.375
492135853514,2.25,-0.625,-0.125
492135871413,1.25,-0.375,0.625
492135892467,-0.0625,0.4375,0.9375
492135913509,-0.375,0.875,0.5625
492135931377,0.25,0.875,-0.125
492135952518,1.4375,0.625,-0.125
492135973411,0.9375,0.875,0.3125
492135991373,-1.375,1,0.375
492136018440,-0.6875,0.625,-0.3125
492136033428,1.375,0.125,-0.6875
492136051395,1.4375,0.0625,-0.25
492136073900,0.375,0.25,0.5
492136093596,-0.0625,0.125,0.5
492136111471,0.125,-0.125,0.125
492136133944,1.3125,-0.4375,0.1875
492136153527,1.625,-0.375,0.0625
492136171436,1,-0.125,-0.125
492136193953,0.1875,-0.125,-0.375
492136216430,1.1875,-1.125,-0.75
492136231480,3.5,-2.0625,-0.5625
492136253907,4.6875,-1.875,-0.125
492136273471,3.75,-0.75,0.125
492136291398,1.5625,0.0625,-0.1875
492136313949,1.8125,-0.1875,-0.9375
492136333518,3.375,-0.875,-0.9375
492136351435,2.5625,-0.6875,-0.1875
492136373890,-0.0625,-0.1875,-0.125
492136393419,0.0625,-0.0625,-0.75
492136411396,1.25,0.0625,-0.875
492136433907,0.3125,0.1875,-0.5625
492136453506,-1.0625,0.1875,-0.125
492136471367,-1,0,-0.0625
492136493898,-0.5,-0.25,-0.0625
492136513475,0.5,-0.3125,-0.375
492136531497,0.0625,0.125,0.125
492136553140,-0.9375,0.6875,0.375
492136574125,-1.875,0.875,0
492136590680,-2.5,0.875,-0.4375
492136613203,-2.375,0.875,-0.625
492136634279,-2.375,1,-0.5625
492136650610,-3.25,1.4375,-0.5625
492136673120,-2.5,1.5625,-0.8125
492136694262,-1.9375,1.8125,-0.9375
492136710726,-2.4375,1.6875,-0.375
492136733136,-2.9375,1.5,-0.25
492136754221,-2.125,1.125,-0.125
492136771144,-1,0.9375,0.125
492136793140,-2.5,1.25,0.3125
492136814262,-2.75,0.8125,0
492136830694,-0.0625,0.125,-0.25
492136853152,1.125,-0.375,-0.0625
492136874138,-0.1875,0,0.3125
492136890537,-1.25,0.25,0.25
492136913081,-1.5,0,0.25
492136941665,-0.4375,-0.1875,0.1875
492136950557,-0.1875,0.375,0.6875
492136973108,-1,1.6875,0.5625
492136995569,-1.4375,2.6875,0.5
492137010545,-3.1875,3.4375,1
492137033175,-5.1875,3.1875,1.25
492137055677,-5,1.9375,1.0625
492137070638,-2.0625,0.3125,0.5
492137093108,0.5,-0.6875,0.125
492137115661,1.0625,-0.25,0.1875
492137130008,-0.4375,0.5625,0.4375
492137153188,-1.1875,0.9375,-0.125
492137175644,-1.75,1,-0.625
492137189971,-1.6875,0.8125,-0.5
492137213194,-1.875,1,-0.1875
492137235634,-3.0625,1.3125,0.0625
492137249990,-3.5625,1.125,-0.125
492137279226,-2.25,0.25,-0.3125
492137295683,0.125,-0.625,-0.1875
492137309949,1.25,-0.9375,0.25
492137333178,0.75,-0.875,0.1875
492137355616,0.3125,-0.375,-0.25
492137369950,-0.625,0.0625,-0.375
492137393113,-2.125,0.3125,-0.125
492137415572,-2.75,0.1875,0.3125
492137429916,-1.8125,-0.0625,0
492137453083,-1.3125,-0.125,-0.125
492137475601,-0.625,-0.375,-0.125
492137496746,0.375,-0.5,0
492137513067,0.75,-0.5,0.0625
492137535603,-0.125,-0.125,0.375
492137556792,-1,0.0625,-0.125
492137573198,-0.9375,0.0625,-0.5
492137595630,-1.125,0,-0.5
492137616792,-0.5625,-0.25,-0.5
492137633179,0.75,-0.4375,-0.125
492137655657,-0.375,-0.25,0.6875
492137676739,-1.375,-0.0625,0.375
492137693175,-0.8125,-0.125,-0.0625
492137715643,0.375,0.0625,-0.0625
492137736729,0.25,0.3125,0.3125
492137753131,-0.375,0.5625,0.5
492137775605,-0.0625,0.5,0.125
492137796700,0.125,0.125,-0.25
492137813097,0.8125,-0.1875,-0.4375
492137835641,0.8125,-0.1875,0
492137864171,-0.625,0,0.5625
492137873184,-0.4375,0.1875,0.3125
492137895673,0.75,-0.0625,0.1875
492137918241,1.25,-0.0625,0.3125
492137933196,-0.6875,-0.0625,0.375
492137955710,-1.1875,0.0625,0.1875
492137978197,0.375,0.3125,0.0625
492137993146,2.0625,1.5625,0.5
492138015684,1.8125,2.9375,1.5625
492138038199,0.6875,3.5625,2.5625
492138053098,-3.5625,3.75,3.8125
492138075612,-4.4375,4.1875,3.9375
492138098064,-2.3125,4.75,3.6875
492138112423,-1.75,4.8125,3.9375
492138135640,-3,4.4375,3.75
492138158120,-3.5,3.5625,3.1875
492138172418,-2.75,1.4375,0.8125
492138195691,0.875,-0.5625,-0.75
492138218203,2.5,-1.5,-1.125
492138232452,-0.3125,-1,-0.5
492138255698,-1.125,-0.5625,-0.8125
492138278184,0.5,-1.0625,-1.375
492138292504,1.5,-1.4375,-1.1875
492138315586,-0.75,-1.3125,-0.125
492138338183,-1.75,-1.125,-0.1875
492138352578,-0.625,-1.25,-0.875
492138375689,0.9375,-1.375,-1.25
492138398130,1.25,-1.25,-0.625
492138419148,-0.125,-0.5,-0.1875
492138435574,0.375,-0.5625,-0.375
492138458184,0.8125,-0.5,-0.375
492138479136,0.25,-0.25,-0.375
492138495717,-0.625,-0.0625,-0.125
492138518216,-0.4375,-0.125,-0.0625
492138539194,-0.0625,-0.125,0.0625
492138555674,-0.375,-0.125,0.25
492138578227,-1.4375,-0.25,0.625
492138599272,-1.75,-0.5625,0.4375
492138615420,-0.875,-0.75,0
492138638115,-0.4375,-0.3125,-0.125
492138659011,-0.625,0.25,-0.125
492138675666,-0.25,0.25,-0.125
492138698128,0.25,0.0625,-0.0625
492138719300,0.75,-0.3125,-0.125
492138735712,0.0625,-0.1875,0.125
492138758089,-0.25,-0.125,-0.0625
492138779313,-0.4375,-0.375,-0.125
492138795793,1.625,-1.1875,-0.1875
492138818224,2.5,-1.625,0.25
492138839308,2.375,-2.1875,0.375
492138855710,3.75,-2.9375,0.0625
492138878236,4.0625,-3.375,-0.125
492138900644,1.9375,-3.1875,0.125
492138915066,0.0625,-2.5625,-0.125
492138938302,1.0625,-2.3125,-1
492138960647,4.3125,-1.9375,-1.3125
492138975674,3.1875,-0.5625,-0.6875
492138998122,0.125,0,-0.6875
492139020610,1,-0.5,-1.0625
492139034915,3.6875,-1.5,-0.9375
492139058192,4.4375,-1.625,-0.5
492139080626,2.6875,-0.6875,-0.3125
492139094949,1.1875,0,-0.3125
492139118173,-0.0625,0.3125,-0.5
492139140709,-1.0625,0.4375,-0.1875
492139155061,-2,0.375,-0.0625
492139178253,-1.5,0.25,0.125
492139200790,0,0.125,0.3125
492139215057,0.6875,-0.0625,0.1875
492139238210,0.1875,-0.125,-0.25
492139268193,-0.1875,-0.625,-0.1875
492139275109,0.3125,-1.375,0.625
492139298183,3.8125,-2.5,1.25
492139320598,6.0625,-2.9375,1.4375
492139335012,6.625,-3,1.375
492139358253,6.125,-4.125,0.625
492139380735,9.4375,-6.125,0.0625
492139401686,14.9375,-7.875,-0.125
492139418190,16.0625,-8.5625,-0.1875
492139440668,14.125,-9,-1.6875
492139461687,14.625,-12.375,-4.125
492139478124,23.3125,-18,-5.5625
492139501088,24.9375,-18.1875,-4.9375
492139521704,15.8125,-18.375,-12.9375
492139538156,8.875,-19.4375,-29.5
492139560707,-12.3125,-19.25,-49.375
492139581867,-70.25,-23.5,-62
492139597545,-127.25,-34.5,-67.8125
492139620746,-130.562,-48.9375,-78.25
492139641764,-86.5,-59.375,-92.9375
492139657489,-47.125,-67.5,-103.375
492139680718,-39.375,-74.8125,-106.875
492139701764,-40.5,-79.0625,-113.375
492139717556,-42.3125,-79.375,-111.062
492139740754,-53.1875,-72.4375,-108.625
492139761856,-88.8125,-68.125,-106
492139777984,-125.125,-63.25,-107.375
492139800618,-125.812,-58.5625,-101.062
492139823149,-100.312,-52.25,-90.5
492139837472,-88.125,-44.125,-82.875
492139860656,-91.0625,-41.375,-78.4375
492139883180,-96.3125,-44.0625,-74.75
492139897597,-101.812,-47.375,-68.5625
492139920753,-113.938,-48.0625,-59.3125
492139943223,-128.625,-45.5625,-50.625
492139964339,-143.062,-41.375,-47.1875
492139980687,-162.812,-37.1875,-50.6875
492140003186,-174.25,-32.125,-52
492140024199,-175.375,-26.75,-47.4375
492140040677,-164.688,-25.6875,-40.5625
492140063192,-151.938,-26.125,-32.9375
492140084223,-140.438,-23.9375,-24.625
492140100621,-137.438,-19.8125,-14.4375
492140123153,-137.062,-6.9375,-3.9375
492140144216,-124.062,8.6875,4.875
492140160657,-99.3125,15.9375,12.8125
492140183120,-81.5625,15.1875,17.3125
