myot,x,y,z
610461487243,0.6875,1.0625,-0.25
610461509789,0.125,0.375,0.0625
610461533036,0,0.125,0.125
610461547392,0.5,0.0625,0.125
610461569872,1.0625,0.4375,0
610461592971,0.875,0.625,0.0625
610461607345,0.5,0.5625,0.125
610461629744,0.8125,0.9375,0
610461653023,1.0625,1.1875,-0.25
610461674075,0.5,0.875,-0.375
610461689834,0.125,0.3125,-0.1875
610461712950,-0.125,0.25,-0.0625
610461733949,0.125,0.3125,0
610461749769,0.1875,0.375,-0.5
610461772922,-0.125,0,-0.4375
610461794024,-0.0625,0,-0.125
610461809813,0.5625,-0.375,0.125
610461832948,1.125,-0.375,0.125
610461853999,0.25,-0.25,0.25
610461869779,-0.1875,0.0625,0.25
610461892972,0.1875,0.1875,0.25
610461914149,0.875,-0.3125,0.3125
610461929864,0.75,-0.4375,0
610461952345,-0.0625,-0.5625,-0.0625
610461974110,0.1875,-0.1875,0.1875
610461989890,0.3125,0.1875,0.3125
610462012398,0.5625,-0.0625,0.1875
610462034027,0,-0.25,0.125
610462049799,-0.4375,-0.0625,0
610462072268,-0.1875,-0.0625,0.3125
610462093990,0.875,-0.125,0.3125
610462109773,0.25,0.0625,0.3125
610462132270,-0.375,0.3125,0.125
610462155421,1,0.25,0.125
610462169769,1.125,-0.125,0.3125
610462192452,0.9375,-0.625,0.1875
610462215534,0.1875,-0.5,0.125
610462229846,-0.5625,-0.25,-0.1875
610462252340,-0.625,-0.0625,-0.5625
610462275525,-0.125,0.625,-0.875
610462289914,-0.8125,0.8125,-0.6875
610462312372,-1.4375,0.8125,-0.6875
610462335530,-2.5,0.1875,-0.25
610462349788,-1.9375,0.625,-0.6875
610462372524,-0.9375,1.875,-0.5
610462395438,-1.3125,3.5,-0.4375
610462409816,-2.5625,3.6875,0.3125
610462432264,-4.5625,4.5,0.6875
610462455470,-5,5.75,1.625
610462469802,-4.375,8.75,1.875
610462492302,-4.625,12,0.6875
610462515471,-8.125,16.9375,-1.4375
610462536615,-10.4375,19.4375,-3.25
610462552363,-15.1875,22.25,-3.125
610462575512,-15.9375,25.3125,-2.4375
610462596599,-13.9375,28.4375,-1.1875
610462612378,-12.5625,31.875,-0.125
610462635564,-13.625,35.1875,1.125
610462656529,-15.5,36.8125,1.375
610462672364,-16.4375,37.875,0.125
610462695533,-16.9375,37.875,-0.9375
610462716571,-17.625,37.375,-1.9375
610462732311,-20.0625,35.875,-2.25
610462755475,-21.5625,33.9375,-2.875
610462776544,-22.25,31.8125,-3.625
610462792289,-20.375,29.75,-4.0625
610462815445,-20.875,30.625,-3.8125
610462836519,-24.3125,31.375,-5.3125
610462852341,-27.1875,29.9375,-6.375
610462874930,-31.3125,26.9375,-5.5
610462896603,-37,21,-4.375
610462912379,-43.9375,12.8125,-1.75
610462934843,-49.5625,3.0625,0.125
610462956630,-51.3125,-5.1875,3.25
610462971550,-49.9375,-13,6.3125
610462985971,-37.375,-15.25,7
610463008442,-27.4375,-16.8125,8.9375
610463031591,-28.5625,-24.75,13.8125
610463045865,-37.0625,-31.75,15
610463068360,-44.5,-32.1875,20.25
610463091515,-48.3125,-30.125,22.125
610463105862,-56.125,-33.375,24.9375
610463128453,-56.375,-41.0625,30.625
610463151533,-53.3125,-44.625,35.375
610463165934,-36.625,-42.0625,35.125
610463188376,-18.875,-40.9375,38.3125
610463211528,-8.6875,-41.8125,42.4375
610463226005,-6.625,-45.3125,48.4375
610463248409,-4.5625,-44.4375,51.9375
610463271610,4.625,-25.3125,43.25
610463285979,23.5,-13.375,36.4375
610463308358,38.3125,-5.5625,30.25
610463331560,36.0625,1.1875,24.875
610463345851,24.3125,5.125,22.25
610463369913,16,8.75,20.125
610463391559,13.9375,9.25,18.4375
610463405929,17.5,7.8125,16.375
610463428414,20.75,6.625,13.75
610463451632,21.125,7.5625,10.9375
610463465868,19.6875,10.3125,9.0625
610463488413,16.875,12,7.875
610463511552,12.3125,13.1875,6.1875
610463525916,4.1875,14.0625,4.375
610463548386,-1.125,13.8125,4.1875
610463571541,-3.3125,12.1875,5.375
610463585932,-0.4375,8.6875,6.75
610463608407,6.5,4.5625,7.4375
610463631614,12.125,2.625,6.4375
610463645963,13.0625,2,5.75
610463668429,9.4375,0.625,5.3125
610463691592,4.4375,-1.9375,5.375
610463705994,-0.75,-3.0625,5.3125
610463728432,-6.1875,-3.5625,6.1875
610463751542,-7.75,-4.75,7.3125
610463765888,-7.75,-6.75,8.4375
610463788380,-7.3125,-8.125,9.125
610463811534,-6.375,-6.5,9.0625
610463825920,-9.0625,-2.75,8.5625
610463848379,-9.875,-0.375,7.9375
610463871544,-6.25,2.25,6.9375
610463885936,-2.25,5.125,5.875
610463908337,-1.0625,6.5625,4.5
610463931548,-1.75,5.875,2.9375
610463945966,-3.25,4.0625,1.25
610463968432,-4.5,2.875,-1.0625
610463990954,-6.5625,1.125,-2.5625
610464005854,-8.1875,-1.5625,-3
610464028381,-11.6875,-4.4375,-3.125
610464050985,-13.6875,-6.5625,-3.125
610464065959,-14.375,-7.625,-3.4375
610464088442,-15.1875,-7.3125,-3.9375
610464110939,-19.1875,-6.375,-4.0625
610464125922,-23.625,-5.6875,-3.125
610464148407,-25.3125,-5.9375,-2
610464170981,-23.1875,-6.4375,-1.0625
610464185961,-17.8125,-5.9375,-0.0625
610464208400,-10.125,-3.75,0.125
610464230983,-3.0625,-1.4375,0.8125
610464245943,0.9375,-0.1875,1.25
610464268410,-2.125,-0.0625,1.75
610464290939,-8.1875,-1.5,2.8125
610464305983,-9.25,-3.5,3.0625
610464328429,-4,-3.3125,2.375
610464350908,3.5,-2,1.4375
610464365910,6.75,-1.125,1.4375
610464388400,4.4375,-1.1875,2.25
610464410931,0.8125,-2.125,3.5625
610464425957,-3.1875,-4.4375,5.3125
610464448463,1.375,-4.3125,4.8125
610464470944,12.75,-3.25,2.875
610464485965,13.4375,-6.375,5.375
610464508417,7.5,-15.8125,10.6875
610464530966,5.6875,-23.9375,14.75
610464545952,15,-27.4375,16.25
610464568433,32.125,-28.0625,17.0625
610464590983,50.5625,-27.25,17.1875
610464605952,62.625,-28.25,17.3125
610464628410,64.8125,-31.75,18.75
610464650952,58.4375,-36.1875,20.8125
