myot,myox,myoy,myoz
1455129920,myox,myoy,myoz
284845585109,-0.356445,-0.748535,0.543457
284845601546,-0.314453,-0.751953,0.557129
284845622585,-0.319824,-0.778809,0.550781
284845645073,-0.314453,-0.786133,0.565918
284845661572,-0.319336,-0.78125,0.56543
284845682662,-0.302246,-0.77002,0.575195
284845705133,-0.304199,-0.793457,0.570801
284845721493,-0.303223,-0.795898,0.57666
284845742544,-0.327148,-0.77832,0.563965
284845765017,-0.339355,-0.770996,0.582031
284845781561,-0.333496,-0.794922,0.552246
284845802628,-0.337402,-0.797852,0.562012
284845825098,-0.34082,-0.787598,0.552246
284845841545,-0.344238,-0.737793,0.507812
284845861865,-0.33252,-0.724609,0.523438
284845884340,-0.312012,-0.756348,0.556641
284845906848,-0.305176,-0.783203,0.567383
284845921801,-0.285645,-0.780762,0.585938
284845944331,-0.282227,-0.809082,0.600098
284845968193,-0.282227,-0.821289,0.583008
284845989334,-0.291016,-0.780273,0.583008
284846004238,-0.315918,-0.773926,0.559082
284846026732,-0.332031,-0.765625,0.55127
284846041732,-0.332031,-0.774902,0.54834
284846064227,-0.324219,-0.776367,0.550781
284846086737,-0.311523,-0.788086,0.56543
284846101720,-0.313965,-0.793945,0.568848
284846131900,-0.306641,-0.777344,0.569824
284846146516,-0.305176,-0.77832,0.562988
284846161820,-0.302734,-0.776367,0.561035
284846184474,-0.297363,-0.771973,0.567871
284846206831,-0.302246,-0.788086,0.571289
284846221742,-0.308594,-0.778809,0.572754
284846244388,-0.311523,-0.776855,0.574219
284846266876,-0.299316,-0.766113,0.568359
284846281864,-0.297363,-0.776855,0.563965
284846304347,-0.297852,-0.777344,0.566406
284846326875,-0.300781,-0.779785,0.563965
284846341806,-0.306641,-0.783691,0.573242
284846364294,-0.290039,-0.785156,0.578125
284846386886,-0.284668,-0.769531,0.578125
284846401799,-0.264648,-0.765625,0.580566
284846424302,-0.233887,-0.724121,0.585938
284846440065,-0.21582,-0.714844,0.588867
284846463279,-0.208008,-0.717773,0.600586
