timestamp,x,y,z
10041020960,-30.4375,100.188,-203.188
10041040357,-18.375,110.375,-205.188
10041056791,-11.1875,118.125,-201.75
10041086791,8.875,113.562,-196.938
10041100432,37,100.938,-196.562
10041116152,47.75,91,-208.75
10041139303,41.4375,73.9375,-213.312
10041169375,22.4375,59.4375,-219
10041176270,5.625,52.25,-222.375
10041199365,-12.75,47.5,-222.125
10041221790,-33.1875,46.875,-223.438
10041236237,-40.125,55.3125,-225.125
10041259418,-37.3125,62.8125,-228.812
10041281788,-28.9375,61.4375,-235.5
10041296137,-52.25,70.4375,-240.062
10041319355,-59.25,91.375,-224.875
10041341863,-17.6875,100.125,-193.75
10041356213,36.9375,114.688,-181.062
10041379361,60.5,108.312,-199.188
10041401816,26.0625,88.75,-196.375
10041416160,-29.3125,73.25,-183.562
10041445393,-42.0625,67,-164.062
10041461808,-5.1875,68.125,-139.5
10041482870,50.625,68.25,-128.5
10041499271,75.9375,52.9375,-123.938
10041521809,42.25,29.0625,-101.5
10041542943,12.25,13.4375,-80.3125
10041559340,8.375,11.625,-67.375
10041596243,32.0625,7.3125,-58.3125
10041603044,46.5625,0.3125,-42.3125
10041619356,23.1875,-8,-17.5625
10041641848,-12.5,-15.75,2.3125
10041662933,-30.25,-18.0625,11.5625
10041679328,-14.3125,-16.5625,17.9375
10041701793,23.9375,-13.1875,32.625
10041722852,26,-19.25,54.125
10041739318,-10.625,-26.9375,71.3125
10041761856,-42.1875,-28.375,84.5
10041783048,-40.875,-32.6875,97.75
10041799344,-20.75,-45.25,115.688
10041821884,-18.9375,-49.625,138.5
10041843110,-33.4375,-47.375,149.375
10041859371,-36.5,-48.625,155.75
10041881912,-25.5,-55.5,162.625
10041903016,-19.875,-65.875,170.25
10041919382,-19.4375,-73.5,178.688
10041941811,-26.4375,-70.9375,182.938
10041962880,-39.25,-65.875,181.062
10041979324,-51.8125,-64.8125,179.5
10042001822,-72.25,-75.5,180.75
10042022951,-88.75,-85.6875,180.188
10042039395,-83.25,-90.3125,186.25
10042061867,-64.125,-94.9375,182.812
10042084404,-45.875,-92.375,175.938
10042098768,-34.875,-98.5,178.312
10042121929,-20,-106,191.312
10042144346,-18.625,-108.625,201.188
10042158710,-11.9375,-119.062,208.375
10042181621,12.4375,-121.438,209.812
10042204465,53.0625,-118.438,214.188
10042218676,84.1875,-113.875,220.938
10042241870,88.1875,-112.75,226.875
